Area,Filename,Lat,Lon
ortigas_cbd,zm128m_lat14d578185_lon121d051556,14.57818486,121.0515557
ortigas_cbd,zm128m_lat14d577028_lon121d051556,14.57702801,121.0515557
ortigas_cbd,zm128m_lat14d579342_lon121d052744,14.5793417,121.0527435
ortigas_cbd,zm128m_lat14d578185_lon121d052744,14.57818485,121.0527435
ortigas_cbd,zm128m_lat14d577028_lon121d052744,14.57702799,121.0527435
ortigas_cbd,zm128m_lat14d575871_lon121d052743,14.57587113,121.0527435
ortigas_cbd,zm128m_lat14d581655_lon121d053931,14.5816554,121.0539314
ortigas_cbd,zm128m_lat14d580499_lon121d053931,14.58049854,121.0539314
ortigas_cbd,zm128m_lat14d579342_lon121d053931,14.57934168,121.0539314
ortigas_cbd,zm128m_lat14d578185_lon121d053931,14.57818483,121.0539314
ortigas_cbd,zm128m_lat14d577028_lon121d053931,14.57702797,121.0539313
ortigas_cbd,zm128m_lat14d575871_lon121d053931,14.57587111,121.0539313
ortigas_cbd,zm128m_lat14d574714_lon121d053931,14.57471426,121.0539313
ortigas_cbd,zm128m_lat14d573557_lon121d053931,14.5735574,121.0539313
ortigas_cbd,zm128m_lat14d582812_lon121d055119,14.58281222,121.0551193
ortigas_cbd,zm128m_lat14d581655_lon121d055119,14.58165537,121.0551193
ortigas_cbd,zm128m_lat14d580499_lon121d055119,14.58049851,121.0551193
ortigas_cbd,zm128m_lat14d579342_lon121d055119,14.57934166,121.0551192
ortigas_cbd,zm128m_lat14d578185_lon121d055119,14.5781848,121.0551192
ortigas_cbd,zm128m_lat14d577028_lon121d055119,14.57702794,121.0551192
ortigas_cbd,zm128m_lat14d575871_lon121d055119,14.57587109,121.0551191
ortigas_cbd,zm128m_lat14d574714_lon121d055119,14.57471423,121.0551191
ortigas_cbd,zm128m_lat14d573557_lon121d055119,14.57355737,121.0551191
ortigas_cbd,zm128m_lat14d586283_lon121d056307,14.58628276,121.0563073
ortigas_cbd,zm128m_lat14d585126_lon121d056307,14.5851259,121.0563073
ortigas_cbd,zm128m_lat14d583969_lon121d056307,14.58396905,121.0563072
ortigas_cbd,zm128m_lat14d582812_lon121d056307,14.58281219,121.0563072
ortigas_cbd,zm128m_lat14d581655_lon121d056307,14.58165534,121.0563072
ortigas_cbd,zm128m_lat14d580498_lon121d056307,14.58049848,121.0563071
ortigas_cbd,zm128m_lat14d579342_lon121d056307,14.57934162,121.0563071
ortigas_cbd,zm128m_lat14d578185_lon121d056307,14.57818477,121.0563071
ortigas_cbd,zm128m_lat14d577028_lon121d056307,14.57702791,121.056307
ortigas_cbd,zm128m_lat14d575871_lon121d056307,14.57587105,121.056307
ortigas_cbd,zm128m_lat14d574714_lon121d056307,14.5747142,121.0563069
ortigas_cbd,zm128m_lat14d573557_lon121d056307,14.57355734,121.0563069
ortigas_cbd,zm128m_lat14d589753_lon121d057495,14.58975329,121.0574953
ortigas_cbd,zm128m_lat14d588596_lon121d057495,14.58859643,121.0574953
